Size,Algorithm,AvgWallTime(s),AvgCpuTime(s),CPUUtil(%),BucketImbalance,BucketStdDev,AVX2Detected,AVX2Used,NumTrials,NumChunks
256,Sequential,1.0033333333e-05,1.0033333333e-05,100.00,1.0000,0.00,false,false,3,8
256,SampleSortVersionA,4.0324333333e-03,4.0000000000e-03,99.20,1.6064,8.19,false,false,3,8
256,SampleSortVersionB,1.5415666667e-03,1.3333333333e-03,86.49,1.5484,8.09,false,false,3,8
256,SampleSortVersionC,1.3882333333e-03,1.6666666667e-03,120.06,1.2749,4.66,false,false,3,8
256,SampleSortVersionD,2.0988666667e-03,2.0000000000e-03,95.29,1.2408,4.18,true,true,3,8
512,Sequential,3.6400000000e-05,3.6400000000e-05,100.00,1.0000,0.00,false,false,3,8
512,SampleSortVersionA,7.1259333333e-03,7.3333333333e-03,102.91,1.5299,14.10,false,false,3,8
512,SampleSortVersionB,1.1420666667e-03,1.0000000000e-03,87.56,1.3175,10.68,false,false,3,8
512,SampleSortVersionC,1.3946000000e-03,1.6666666667e-03,119.51,1.2356,7.66,false,false,3,8
512,SampleSortVersionD,7.9090000000e-04,6.6666666667e-04,84.29,1.1928,6.35,true,true,3,8
1024,Sequential,3.5600000000e-05,3.5600000000e-05,100.00,1.0000,0.00,false,false,3,8
1024,SampleSortVersionA,2.4240000000e-03,2.3333333333e-03,96.26,1.3150,24.03,false,false,3,8
1024,SampleSortVersionB,7.0703333333e-04,6.6666666667e-04,94.29,1.4818,26.88,false,false,3,8
1024,SampleSortVersionC,9.7143333333e-04,1.0000000000e-03,102.94,1.2495,16.28,false,false,3,8
1024,SampleSortVersionD,8.3286666667e-04,1.0000000000e-03,120.07,1.3005,19.02,true,true,3,8
2048,Sequential,7.5133333333e-05,7.5133333333e-05,100.00,1.0000,0.00,false,false,3,8
2048,SampleSortVersionA,3.1992000000e-03,3.3333333333e-03,104.19,1.3608,39.38,false,false,3,8
2048,SampleSortVersionB,1.0774000000e-03,1.0000000000e-03,92.82,1.2594,34.03,false,false,3,8
2048,SampleSortVersionC,8.5830000000e-04,1.0000000000e-03,116.51,1.2229,28.66,false,false,3,8
2048,SampleSortVersionD,1.6975333333e-03,1.6666666667e-03,98.18,1.2706,34.94,true,true,3,8
4096,Sequential,1.9966666667e-04,1.9966666667e-04,100.00,1.0000,0.00,false,false,3,8
4096,SampleSortVersionA,3.3688666667e-03,3.3333333333e-03,98.95,1.1898,48.20,false,false,3,8
